 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,289.334,3.709,0,6.666,1.046,1.406,2.029,3.139,0.095
6,2,0,298.333,8.801,0,5.677,1.034,1.396,2.035,3.191,0.042
9,3,0,399.749,8.681,0,6.2,1.042,1.41,2.057,3.224,0.066
14,4,0,2.288,9.288,0,5.126,1.008,1.356,1.976,3.106,0.088
18,5,0,360.204,9.343,0,4.07,0.932,1.151,1.505,2.092,0.007
20,6,0,94.775,11.687,0,6.206,1.051,1.418,2.053,3.184,0.068
22,7,0,130.747,23.706,0,4.85,0.944,1.171,1.535,2.135,0.069
25,8,0,402.602,26.268,0,6.39,1.058,1.431,2.076,3.227,0.159
28,9,0,474.639,26.313,0,6.297,1.068,1.472,2.186,3.484,0.098
30,10,0,406.708,35.652,0,5.699,1.028,1.377,1.986,3.079,0.046
32,11,0,438.613,36.621,0,6.687,1.117,1.558,2.335,3.74,0.095
35,12,0,205.686,38.352,0,6.383,1.066,1.454,2.135,3.359,0.15
40,13,0,3.347,43.689,0,6.401,1.099,1.53,2.291,3.674,0.105
42,14,0,482.666,61.3,0,6.451,1.034,1.379,1.975,3.03,0.161
50,15,0,229.251,63.288,0,5.003,0.969,1.244,1.711,2.527,0.103
59,16,0,126.746,67.294,0,4.937,0.979,1.251,1.706,2.486,0.111
61,17,0,332.322,68.624,0,6.757,1.108,1.532,2.274,3.605,0.097
65,18,0,26.448,75.714,0,6.357,1.071,1.457,2.128,3.324,0.136
75,19,0,55.684,76.593,0,3.846,0.925,1.143,1.497,2.091,0.013
78,20,0,493.6,82.325,0,6.764,1.111,1.553,2.335,3.756,0.092
83,21,0,114.802,84.264,0,4.974,1.008,1.338,1.911,2.935,0.105
86,22,0,241.657,85.364,0,6.613,1.111,1.561,2.361,3.82,0.099
90,23,0,313.27,87.376,0,6.368,1.076,1.476,2.178,3.443,0.133
92,24,0,96.228,92.773,0,4.831,0.986,1.291,1.823,2.773,0.108
94,25,0,454.751,100.618,0,6.48,1.033,1.384,1.996,3.091,0.163
105,26,0,478.31,101.713,0,6.443,1.065,1.453,2.134,3.362,0.172
107,27,0,242.657,102.365,0,6.576,1.092,1.513,2.255,3.601,0.133
109,28,0,311.282,103.34,0,6.925,1.113,1.562,2.36,3.815,0.063
111,29,0,74.178,105.68,0,5.021,0.999,1.296,1.796,2.666,0.112
113,30,0,191.68,107.661,0,7.113,1.116,1.551,2.317,3.697,0.024
119,31,0,322.71,107.263,0,5.117,0.999,1.305,1.828,2.749,0.102
122,32,0,30.712,114.232,0,5.455,1.006,1.325,1.871,2.835,0.043
124,33,0,254.63,114.36,0,6.874,1.11,1.547,2.319,3.719,0.077
127,34,0,306.577,120.378,0,7.154,1.114,1.568,2.379,3.865,0.017
130,35,0,489.295,123.312,0,5.569,1.005,1.332,1.901,2.923,0.036
133,36,0,25.176,127.257,0,5.293,0.985,1.286,1.801,2.713,0.06
143,37,0,41.176,134.645,0,4.509,0.981,1.309,1.899,2.983,0.018
150,38,0,245.328,148.658,0,6.582,1.107,1.533,2.28,3.623,0.12
154,39,0,427.212,148.387,0,4.93,0.981,1.274,1.774,2.653,0.116
156,40,0,48.747,150.241,0,4.845,0.991,1.28,1.768,2.613,0.111
160,41,0,484.286,151.277,0,5.383,0.993,1.31,1.86,2.843,0.049
