Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID252,252,0,-1,300.519,153.485,0,0,0,5,1,-10921639,133.608,135,90,171,12960,19.518,8.873,0.156,1.849
ID292,292,0,-1,300.519,154.554,0,1,1,5,1,-10921639,127.010,134,75,173,12320,27.605,8.928,0.125,1.019
ID328,328,0,-1,299.450,154.020,0,2,2,5,1,-10921639,125.856,129,74,169,12208,25.795,8.870,0.147,1.251
ID364,364,0,-1,301.054,152.416,0,3,3,5,1,-10921639,134.856,137,100,168,13081,17.525,8.871,0.161,2.130
ID400,400,0,-1,299.985,153.485,0,4,4,5,1,-10921639,131.423,134,89,167,12748,20.222,8.853,0.155,1.745
ID457,457,0,-1,300.519,154.020,0,5,5,5,1,-10921639,130.247,136,83,168,12634,22.734,8.903,0.141,1.414
ID493,493,0,-1,300.519,154.020,0,6,6,5,1,-10921639,130.722,136,82,170,12680,23.210,8.909,0.142,1.398
ID529,529,0,-1,299.985,151.881,0,7,7,5,1,-10921639,132.711,134,100,171,12873,19.343,8.856,0.162,1.914
ID565,565,0,-1,299.450,153.485,0,8,8,5,1,-10921639,128.134,128,82,168,12429,22.423,8.863,0.153,1.520
ID601,601,0,-1,299.985,152.416,0,9,9,5,1,-10921639,130.979,132,100,169,12705,18.819,8.857,0.158,1.903
ID637,637,0,-1,298.915,152.416,0,10,10,5,1,-10921639,128.113,129,90,168,12427,21.169,8.807,0.146,1.545
ID673,673,0,-1,299.450,151.346,0,11,11,5,1,-10921639,127.619,125,91,168,12379,20.739,8.873,0.141,1.521
ID709,709,0,-1,299.985,152.950,0,12,12,5,1,-10921639,128.031,131,85,168,12419,22.082,8.871,0.144,1.461
ID745,745,0,-1,301.589,151.346,0,13,13,5,1,-10921639,131.794,131,92,168,12784,18.059,8.905,0.153,1.937
ID787,787,0,-1,301.589,151.881,0,14,14,5,1,-10921639,131.887,133,95,165,12793,17.421,8.893,0.149,1.969
ID820,820,0,-1,301.589,153.485,0,15,15,5,1,-10921639,130.175,133,87,165,12627,18.775,8.923,0.138,1.677
ID856,856,0,-1,299.985,151.881,0,16,16,5,1,-10921639,128.392,129,92,166,12454,19.798,8.881,0.162,1.804
ID892,892,0,-1,301.054,152.950,0,17,17,5,1,-10921639,128.124,130,85,168,12428,20.188,8.907,0.143,1.589
ID928,928,0,-1,300.519,151.346,0,18,18,5,1,-10921639,128.546,127,100,164,12469,17.048,8.878,0.167,2.162
ID967,967,0,-1,300.519,150.277,0,19,19,5,1,-10921639,127.392,128,93,162,12357,18.642,8.908,0.165,1.937
ID1003,1003,0,-1,301.589,151.346,0,20,20,5,1,-10921639,129.464,129,92,160,12558,16.852,8.868,0.159,2.102
ID1039,1039,0,-1,299.985,150.812,0,21,21,5,1,-10921639,125.433,127,88,159,12167,19.714,8.890,0.163,1.785
ID1075,1075,0,-1,302.658,150.277,0,22,22,5,1,-10921639,127.186,129,83,163,12337,19.395,8.896,0.149,1.702
ID1111,1111,0,-1,301.589,151.346,0,23,23,5,1,-10921639,128.412,128,95,162,12456,16.279,8.902,0.160,2.172
ID1147,1147,0,-1,301.589,149.208,0,24,24,5,1,-10921639,124.670,124,83,162,12093,19.193,8.882,0.160,1.788
ID1183,1183,0,-1,301.589,150.277,0,25,25,5,1,-10921639,126.845,125,97,160,12304,16.321,8.902,0.160,2.141
